RegionID,SizeRank,Location,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023
394913,1,"New York, NY",2385.219396,2403.753582,2421.231076,2439.38233,2448.425349,2462.016357,2468.739863,2474.215488,2469.140865,2460.336774,2455.914561,2457.381736,2465.056692,2473.489275,2486.34352,2501.387744,2510.627017,2513.984924,2515.555603,2510.632987,2505.424095,2495.163897,2491.219522,2491.914866,2498.158519,2510.575867,2526.901095,2543.11719,2556.775883,2561.255033,2560.869859,2551.993672,2538.140672,2527.863975,2520.525933,2522.240063,2528.450084,2542.911279,2561.421261,2578.704162,2594.235973,2604.796338,2607.781529,2602.790949,2591.924978,2580.743222,2574.306402,2579.421279,2592.851897,2607.638562,2629.110519,2649.362049,2669.23316,2673.967239,2670.570141,2665.109769,2653.722004,2644.027295,2639.585908,2652.722801,2667.505662,2663.970202,2644.948614,2619.6767,2595.348979,,,2451.4196,2420.429486,2405.332381,2401.970384,2405.020585,2423.809156,2454.435511,2502.578857,2557.213791,2620.099957,2680.298717,2731.608548,2764.251079,2785.162587,2803.012639,2822.898284,2859.594733,2902.298835,2955.859223,3015.296055,3076.799046,3130.332141,3154.033247,3151.025599,3127.883766,3095.742311,3072.639223,3065.017318
753899,2,"Los Angeles, CA",1914.730864,1927.655457,1940.995475,1952.425792,1968.438708,1982.282355,1993.858844,1999.432996,2005.799026,2010.024049,2019.442305,2031.260368,2046.262895,2055.051009,2066.062418,2077.777931,2092.06305,2100.346391,2107.723573,2112.219302,2115.118416,2117.838648,2126.139919,2139.646998,2155.932765,2171.52215,2186.182681,2196.366849,2208.383994,2215.793739,2223.529233,2225.083325,2227.645072,2229.148124,2235.297054,2243.08792,2254.135984,2264.804095,2276.102192,2288.588252,2298.6525,2309.529783,2315.516902,2321.379957,2325.555226,2330.974869,2336.282689,2341.205469,2347.879794,2357.698131,2367.814142,2380.705689,2390.206558,2399.846827,2405.074159,2407.86015,2408.304765,2411.855569,2417.816616,2424.763233,2426.158643,,,,2377.150334,2376.431236,2377.201517,2377.997706,2385.980151,2387.396611,2388.672318,2392.282414,2406.739814,2427.61511,2455.814417,2492.699937,2540.838731,2599.234982,2646.250549,2680.963946,2697.660489,2717.359956,2734.628625,2759.836278,2788.543013,2823.035882,2857.376769,2882.139364,2903.194297,2916.149142,2923.484011,2919.007841,2910.841929,2902.889391,2896.943067
394463,3,"Chicago, IL",1422.67241,1435.441402,1446.702786,1470.374315,1476.787061,1483.009421,1481.020743,1474.237195,1463.69341,1459.222182,1463.717789,1473.893934,1485.678396,1495.060007,1505.602272,1514.522881,1521.640199,1522.722008,1516.583479,1505.16927,1493.448078,1487.286753,1488.718142,1501.267087,1516.990427,1533.985713,1545.34122,1552.672302,1556.786055,1555.213944,1549.034139,1538.602159,1529.285711,1526.100021,1530.035769,1537.6671,1549.384542,1559.609538,1571.909079,1581.83912,1588.554094,1588.072443,1581.755579,1570.699901,1562.630428,1557.147186,1561.780264,1569.905241,1583.573228,1597.925689,1611.47908,1622.575399,1628.636572,1629.534859,1625.807388,1618.458176,1609.187532,1603.620518,1606.758164,1617.664718,1630.948537,1633.914155,1632.74142,1627.755858,1627.213702,1620.619138,1605.753687,1585.107521,1568.029451,1559.134542,1557.397133,1561.60919,1577.656471,1606.193263,1641.142921,1671.163329,1692.920031,1709.942597,1718.307239,1720.339742,1719.312718,1725.877111,1738.224731,1753.985605,1772.976798,1795.344311,1820.754624,1841.547087,1860.531252,1868.719705,1871.457472,1869.964119,1863.995689,1864.939703,1868.85846
394514,4,"Dallas, TX",1157.33485,1167.824303,1179.831226,1187.613051,1193.868953,1198.60953,1201.245156,1200.119952,1199.503123,1199.077443,1203.645525,1209.806308,1221.534346,1230.082679,1238.444187,1242.920606,1248.648894,1251.745538,1252.248988,1251.936044,1252.743763,1254.184531,1257.752889,1261.261854,1270.980128,1280.009489,1292.542167,1301.334377,1308.267224,1311.304247,1310.524381,1310.184319,1306.495374,1306.275795,1307.751123,1315.385818,1321.358116,1328.704716,1332.977307,1341.385299,1347.096391,1352.689674,1351.599319,1352.991896,1354.00401,1354.111287,1354.859586,1359.234533,1367.949979,1377.199406,1385.204294,1395.94546,1402.203719,1404.449811,1404.332329,1402.826243,1400.410266,1397.020272,1396.911227,1402.374348,1409.285818,1409.152724,1406.376423,1405.776642,1410.5399,1414.379719,1415.190111,1418.929077,1423.08348,1428.175538,1432.213665,1438.751532,1451.303752,1473.482556,1504.151333,1541.898338,1581.408695,1619.158606,1647.800994,1663.543625,1676.006451,1684.494968,1694.447296,1704.552582,1717.091821,1740.651141,1769.936539,1803.818103,1827.997976,1837.990096,1837.313291,1825.096163,1810.306142,1795.009792,1789.450877
394692,5,"Houston, TX",1308.796225,1316.986178,1326.252241,1335.459857,1340.496956,1344.864896,1343.707876,1339.506857,1335.045682,1331.858639,1332.370304,1335.826641,1343.102362,1346.995957,1346.670332,1345.276047,1344.663582,1342.212695,1336.989146,1333.261497,1327.167921,1323.612823,1320.286959,1326.449287,1334.790077,1342.31092,1348.708661,1350.947542,1352.039165,1350.310221,1352.525271,1361.676346,1371.057913,1377.701109,1379.309966,1382.008673,1386.325356,1393.176582,1398.191835,1403.201018,1406.834604,1407.528675,1404.950734,1401.837951,1403.901406,1403.577978,1402.680582,1400.547119,1404.910652,1410.852529,1418.976776,1426.390561,1431.963659,1432.218895,1428.657703,1426.374209,1425.332963,1428.223107,1430.141236,1433.46746,1436.83109,1431.654411,1423.564242,1416.405719,1417.247865,1421.49736,1422.655453,1426.934934,1430.323478,1432.305014,1430.471986,1427.839285,1433.930657,1449.312677,1477.328219,1510.183913,1542.319698,1569.602181,1582.550054,1591.692415,1595.127863,1603.109626,1605.772691,1614.293729,1624.535569,1639.938463,1655.470752,1670.135046,1682.955319,1690.332147,1689.515448,1684.223354,1675.593091,1669.897868,1674.996101
395209,6,"Washington, DC",1762.438141,1772.049437,1779.010007,1788.044017,1791.761569,1795.041716,1792.171201,1791.415389,1785.912388,1784.840896,1782.818445,1788.735435,1797.50206,1805.595407,1814.595805,1820.005989,1818.975155,1819.518507,1813.245908,1812.508628,1803.67504,1801.022895,1803.537856,1812.522875,1824.087098,1835.481524,1844.672219,1852.463669,1855.101807,1856.733432,1854.468515,1847.299797,1836.64638,1829.461902,1830.521202,1837.29519,1847.36949,1860.419708,1872.375545,1884.841238,1893.309335,1899.032892,1895.214349,1890.005332,1886.137539,1886.499772,1890.393203,1897.339142,1907.404969,1919.258073,1931.170103,1943.496773,1950.589777,1954.199641,1954.556373,1949.294128,1942.570078,1935.235626,1937.948808,1943.85408,1954.579381,1952.100847,1944.235997,1934.943583,1932.411928,1927.910454,1913.187216,1893.852765,1873.272681,1862.97234,1861.157182,1869.425673,1879.279063,1900.189738,1930.89519,1971.600837,2011.794664,2047.819128,2071.076058,2083.916633,2085.38357,2087.963676,2088.780645,2098.565703,2113.235864,2136.673751,2161.080973,2186.688357,2208.335058,2223.62849,2228.151438,2218.856357,2200.138693,2182.952221,2178.082641
394856,7,"Miami, FL",1577.741912,1583.793901,1590.557867,1600.413431,1608.356616,1616.816913,1625.483438,1639.294584,1649.50048,1653.637005,1656.965727,1660.451391,1667.291527,1667.74409,1668.173841,1667.037151,1669.834731,1672.070792,1674.926636,1678.07993,1681.750157,1682.509385,1686.158515,1689.222512,1695.865374,1697.970919,1699.697028,1703.304745,1708.957154,1715.225093,1718.641333,1724.845418,1728.155526,1732.547218,1733.679914,1736.623873,1739.394331,1742.281604,1746.46247,1752.308266,1757.497267,1764.85951,1770.328441,1779.257177,1784.189551,1789.276215,1789.116828,1790.412814,1793.103418,1796.928886,1799.915482,1802.852429,1808.785113,1813.644606,1820.313148,1828.367631,1838.775625,1847.532967,1851.390787,1855.717768,1857.669756,1852.014044,1839.702029,1829.394396,1832.721684,1839.99909,1848.810153,1856.971348,1873.716154,1891.530152,1915.795906,1935.702914,1963.511776,1995.755905,2041.72423,2098.270647,,2244.886757,2313.96365,2367.631902,2419.953789,2473.627651,2517.463007,2554.697207,2593.357781,2638.26297,2682.337404,2708.716598,2727.996991,2730.981497,2743.559168,2752.023577,2764.38937,2762.555294,2759.359212
394974,8,"Philadelphia, PA",1299.23769,1305.138999,1314.468115,1319.912649,1323.604366,1325.596638,1324.722508,1322.758481,1319.533237,1317.713656,1320.659675,1324.428169,1333.994563,1341.772664,1351.06444,1355.979191,1357.267437,1355.016773,1352.519157,1350.573679,1351.753663,1350.543495,1352.416606,1357.441759,1366.176476,1376.064767,1382.767147,1387.854264,1389.483103,1390.583078,1388.215671,1387.565057,1386.400084,1389.893236,1389.437309,1393.060832,1399.73789,1411.353011,1422.945019,1429.513171,1433.602266,1433.562122,1433.330221,1432.992985,1432.497659,1432.8931,1436.549866,1442.248188,1452.163894,1461.563497,1470.022962,1478.782982,1484.414537,1487.281778,1485.251255,1483.279055,1482.918886,1482.898822,1484.650626,1493.112578,1502.646109,1504.338212,1502.615758,1500.33074,1506.210356,1509.988316,1511.5438,1509.890754,1510.015963,1512.879717,1514.861658,1514.784123,1520.795576,1536.858933,1561.667396,1584.728184,1607.619781,1632.592772,1654.478024,1670.65572,1676.122077,1688.16373,1692.106438,1702.705019,1710.150356,1727.048007,1742.910215,1759.059853,1775.3425,1786.05393,1788.223996,1784.096634,1778.004425,1774.280892,1773.407758
394347,9,"Atlanta, GA",1087.491622,1096.370828,1106.329363,1116.68181,1125.893902,1130.54672,1132.37433,1131.824554,1132.509408,1134.391484,1137.95196,1144.09964,1155.391404,1164.754765,1174.245266,1181.586705,1191.159826,1196.540843,1198.370195,1200.430429,1200.495381,1200.228932,1201.675195,1208.719901,1219.588998,1230.038801,1241.526714,1252.538046,1263.045889,1270.615863,1274.973603,1273.687191,1271.672529,1271.557886,1276.42709,1283.25484,1292.722763,1303.246404,1317.603601,1327.91794,1337.022288,1342.409157,1347.41008,1351.670372,1354.700165,1357.872262,1364.718736,1370.287009,1380.303371,1388.993045,1401.050312,1410.748366,1418.33412,1424.029439,1426.982311,1426.995311,1424.741045,1423.66344,1426.751069,1434.122596,1442.018094,1442.58779,1440.885975,1443.838063,1455.592617,1471.424872,1482.865678,1494.002092,1501.116721,1511.180984,1521.928848,1537.944103,1557.781607,1584.484064,1617.156497,1659.128053,1707.960915,1761.720031,1801.226298,1826.126364,1833.896711,1838.663067,1841.880123,1851.188049,1864.137726,1874.554705,1892.512073,1914.082535,1942.781508,1958.78056,1966.323319,1960.788068,1950.640733,1944.633337,1940.628554
394976,10,"Phoenix, AZ",985.1722872,997.6337113,1001.43728,1010.28692,1012.007964,1015.143031,1018.274166,1020.362104,1022.68681,1023.884483,1029.869862,1036.364197,1045.630277,1052.913363,1060.981504,1066.326116,1071.090371,1073.004199,1073.864522,1074.508628,1075.71027,1077.598998,1082.454559,1090.224239,1100.452659,1110.188526,1119.574185,1127.287131,1134.092191,1137.998251,1139.235163,1140.754276,1141.94756,1143.709156,1147.299943,1152.44643,1165.653223,1180.118319,1194.317314,1202.223902,1208.854855,1215.890544,1221.535934,1226.14166,1230.571873,1236.063237,1239.896301,1248.745576,1259.563978,1275.409807,1288.079668,1300.443354,1309.165672,1317.209929,1319.47284,1323.526713,1326.079082,1338.068084,1347.063237,1360.478844,1365.501398,1364.030622,1359.032188,1360.683811,1373.278931,1390.462667,1408.152646,1424.384982,1440.61681,1451.016933,1465.197677,1476.045816,1500.900631,1532.957571,1581.901574,1634.20637,1690.90597,1740.387527,1777.186777,1800.710437,1817.667679,1829.99762,1838.710271,1846.331636,1862.345609,1879.39079,1895.691956,1902.770134,1906.894072,1903.943491,1897.934764,1887.214181,1874.824331,1863.957079,1858.292426
